store_id,product_id,current_stock,reorder_level
S001,P001,86,13
S001,P002,8,18
S001,P003,36,17
S001,P004,22,13
S001,P005,91,27
S001,P006,16,28
S001,P007,59,11
S001,P008,3,20
S001,P009,32,17
S001,P010,69,29
S001,P011,8,27
S001,P012,30,30
S001,P013,94,27
S001,P014,58,17
S001,P015,62,28
S001,P016,40,10
S001,P017,25,23
S001,P018,48,18
S001,P019,24,16
S001,P020,48,13
S002,P001,16,22
S002,P002,17,21
S002,P003,49,29
S002,P004,38,11
S002,P005,98,24
S002,P006,2,15
S002,P007,53,12
S002,P008,75,19
S002,P009,85,29
S002,P010,51,28
S002,P011,29,12
S002,P012,10,17
S002,P013,42,12
S002,P014,34,13
S002,P015,53,18
S002,P016,63,30
S002,P017,51,15
S002,P018,52,21
S002,P019,31,18
S002,P020,94,30
S003,P001,14,29
S003,P002,86,15
S003,P003,73,17
S003,P004,25,24
S003,P005,53,18
S003,P006,86,27
S003,P007,33,20
S003,P008,12,17
S003,P009,4,25
S003,P010,56,18
S003,P011,13,16
S003,P012,77,20
S003,P013,32,30
S003,P014,68,22
S003,P015,87,24
S003,P016,23,18
S003,P017,22,17
S003,P018,100,27
S003,P019,73,18
S003,P020,100,28
S004,P001,59,28
S004,P002,56,21
S004,P003,33,14
S004,P004,70,25
S004,P005,16,11
S004,P006,19,14
S004,P007,85,15
S004,P008,92,23
S004,P009,81,12
S004,P010,54,22
S004,P011,81,24
S004,P012,72,18
S004,P013,75,10
S004,P014,92,13
S004,P015,92,27
S004,P016,39,30
S004,P017,48,13
S004,P018,42,23
S004,P019,25,24
S004,P020,5,18
S005,P001,69,15
S005,P002,69,13
S005,P003,85,19
S005,P004,86,26
S005,P005,82,16
S005,P006,24,21
S005,P007,25,27
S005,P008,72,10
S005,P009,81,20
S005,P010,67,10
S005,P011,19,21
S005,P012,44,17
S005,P013,12,17
S005,P014,77,12
S005,P015,15,25
S005,P016,13,27
S005,P017,21,14
S005,P018,89,25
S005,P019,75,15
S005,P020,38,26
