date,store_id,product_id,quantity,unit_price
2026-07-01,S005,P014,2,12000
2026-07-01,S005,P007,3,60000
2026-07-01,S004,P012,4,1500
2026-07-01,S005,P015,1,18000
2026-07-01,S002,P008,1,2000
2026-07-01,S003,P001,5,60000
2026-07-01,S005,P008,5,2000
2026-07-01,S002,P001,1,60000
2026-07-01,S001,P008,1,2000
2026-07-01,S001,P011,1,1200
2026-07-01,S005,P008,3,2000
2026-07-01,S004,P007,5,60000
2026-07-01,S002,P019,5,2500
2026-07-01,S004,P008,4,2000
2026-07-01,S004,P007,1,60000
2026-07-02,S001,P014,3,12000
2026-07-02,S004,P014,4,12000
2026-07-02,S001,P004,1,18000
2026-07-02,S004,P011,1,1200
2026-07-02,S002,P007,2,60000
2026-07-02,S005,P015,2,18000
2026-07-02,S004,P006,3,65000
2026-07-02,S004,P008,1,2000
2026-07-02,S004,P018,1,3000
2026-07-02,S001,P018,1,3000
2026-07-02,S001,P008,2,2000
2026-07-02,S004,P016,0,15000
2026-07-02,S004,P002,2,55000
2026-07-02,S004,P001,4,60000
2026-07-02,S003,P015,3,18000
2026-07-03,S004,P018,4,3000
2026-07-03,S002,P007,3,60000
2026-07-03,S002,P002,5,55000
2026-07-03,S005,P002,3,55000
2026-07-03,S001,P002,5,55000
2026-07-03,S004,P017,0,13000
2026-07-03,S001,P017,0,13000
2026-07-03,S001,P020,1,500
2026-07-03,S002,P013,1,3500
2026-07-03,S005,P008,5,2000
2026-07-03,S005,P002,5,55000
2026-07-03,S001,P014,5,12000
2026-07-03,S005,P017,1,13000
2026-07-03,S002,P011,2,1200
2026-07-03,S003,P013,2,3500
2026-07-04,S003,P015,3,18000
2026-07-04,S001,P001,4,60000
2026-07-04,S005,P019,1,2500
2026-07-04,S001,P018,2,3000
2026-07-04,S005,P009,2,8000
2026-07-04,S003,P003,2,50000
2026-07-04,S003,P010,2,5000
2026-07-04,S004,P018,3,3000
2026-07-04,S005,P017,1,13000
2026-07-04,S001,P005,3,70000
2026-07-04,S001,P004,5,18000
2026-07-04,S002,P009,3,8000
2026-07-04,S005,P007,3,60000
2026-07-04,S002,P009,5,8000
2026-07-04,S004,P009,1,8000
2026-07-05,S001,P014,3,12000
2026-07-05,S001,P001,3,60000
2026-07-05,S002,P009,2,8000
2026-07-05,S004,P018,4,3000
2026-07-05,S005,P001,1,60000
2026-07-05,S001,P005,5,70000
2026-07-05,S001,P012,5,1500
2026-07-05,S005,P005,4,70000
2026-07-05,S002,P002,3,55000
2026-07-05,S003,P002,3,55000
2026-07-05,S002,P008,1,2000
2026-07-05,S003,P018,4,3000
2026-07-05,S005,P005,2,70000
2026-07-05,S002,P006,4,65000
2026-07-05,S001,P006,3,65000
2026-07-06,S004,P008,3,2000
2026-07-06,S002,P004,4,18000
2026-07-06,S001,P016,0,15000
2026-07-06,S004,P012,3,1500
2026-07-06,S002,P008,1,2000
2026-07-06,S002,P013,3,3500
2026-07-06,S003,P003,3,50000
2026-07-06,S003,P017,1,13000
2026-07-06,S001,P004,3,18000
2026-07-06,S002,P019,3,2500
2026-07-06,S001,P004,5,18000
2026-07-06,S004,P012,3,1500
2026-07-06,S004,P020,5,500
2026-07-06,S001,P013,5,3500
2026-07-06,S002,P009,1,8000
2026-07-07,S004,P001,5,60000
2026-07-07,S005,P007,3,60000
2026-07-07,S004,P003,3,50000
2026-07-07,S005,P011,1,1200
2026-07-07,S003,P017,1,13000
2026-07-07,S003,P013,3,3500
2026-07-07,S005,P005,2,70000
2026-07-07,S004,P013,2,3500
2026-07-07,S005,P019,3,2500
2026-07-07,S004,P018,1,3000
2026-07-07,S003,P010,2,5000
2026-07-07,S004,P019,5,2500
2026-07-07,S003,P015,4,18000
2026-07-07,S004,P007,5,60000
2026-07-07,S004,P006,1,65000
2026-07-08,S003,P017,1,13000
2026-07-08,S001,P008,3,2000
2026-07-08,S002,P007,2,60000
2026-07-08,S001,P002,2,55000
2026-07-08,S004,P020,1,500
2026-07-08,S004,P014,5,12000
2026-07-08,S002,P013,4,3500
2026-07-08,S004,P008,2,2000
2026-07-08,S001,P004,4,18000
2026-07-08,S002,P006,5,65000
2026-07-08,S004,P002,5,55000
2026-07-08,S002,P004,4,18000
2026-07-08,S002,P015,5,18000
2026-07-08,S005,P020,3,500
2026-07-08,S004,P020,5,500
2026-07-09,S004,P018,4,3000
2026-07-09,S002,P016,1,15000
2026-07-09,S002,P009,5,8000
2026-07-09,S004,P008,3,2000
2026-07-09,S004,P003,3,50000
2026-07-09,S002,P009,3,8000
2026-07-09,S003,P018,1,3000
2026-07-09,S002,P005,2,70000
2026-07-09,S004,P005,2,70000
2026-07-09,S001,P014,4,12000
2026-07-09,S003,P018,4,3000
2026-07-09,S004,P002,2,55000
2026-07-09,S004,P013,5,3500
2026-07-09,S001,P019,4,2500
2026-07-09,S004,P001,3,60000
2026-07-10,S003,P013,4,3500
2026-07-10,S005,P018,5,3000
2026-07-10,S002,P016,1,15000
2026-07-10,S004,P016,1,15000
2026-07-10,S003,P013,2,3500
2026-07-10,S004,P005,5,70000
2026-07-10,S005,P001,4,60000
2026-07-10,S005,P019,1,2500
2026-07-10,S001,P014,2,12000
2026-07-10,S004,P006,1,65000
2026-07-10,S003,P013,3,3500
2026-07-10,S002,P015,3,18000
2026-07-10,S003,P013,3,3500
2026-07-10,S004,P009,1,8000
2026-07-10,S004,P001,5,60000
2026-07-11,S001,P012,2,1500
2026-07-11,S001,P002,1,55000
2026-07-11,S002,P007,1,60000
2026-07-11,S005,P005,2,70000
2026-07-11,S002,P016,0,15000
2026-07-11,S004,P009,3,8000
2026-07-11,S002,P020,5,500
2026-07-11,S001,P006,3,65000
2026-07-11,S001,P019,1,2500
2026-07-11,S003,P019,4,2500
2026-07-11,S004,P007,1,60000
2026-07-11,S005,P008,1,2000
2026-07-11,S003,P020,1,500
2026-07-11,S005,P002,3,55000
2026-07-11,S005,P014,3,12000
2026-07-12,S001,P017,0,13000
2026-07-12,S004,P016,1,15000
2026-07-12,S003,P015,2,18000
2026-07-12,S004,P006,5,65000
2026-07-12,S003,P020,5,500
2026-07-12,S004,P015,4,18000
2026-07-12,S005,P009,3,8000
2026-07-12,S002,P003,3,50000
2026-07-12,S004,P008,4,2000
2026-07-12,S005,P020,4,500
2026-07-12,S003,P001,4,60000
2026-07-12,S003,P006,4,65000
2026-07-12,S002,P012,3,1500
2026-07-12,S003,P009,5,8000
2026-07-12,S003,P018,1,3000
2026-07-13,S005,P007,1,60000
2026-07-13,S002,P014,4,12000
2026-07-13,S005,P008,4,2000
2026-07-13,S004,P015,1,18000
2026-07-13,S001,P010,2,5000
2026-07-13,S004,P008,3,2000
2026-07-13,S005,P012,4,1500
2026-07-13,S005,P017,1,13000
2026-07-13,S005,P011,3,1200
2026-07-13,S004,P009,3,8000
2026-07-13,S003,P008,1,2000
2026-07-13,S002,P011,1,1200
2026-07-13,S005,P006,2,65000
2026-07-13,S002,P016,1,15000
2026-07-13,S001,P007,3,60000
2026-07-14,S002,P012,2,1500
2026-07-14,S003,P001,5,60000
2026-07-14,S002,P009,1,8000
2026-07-14,S001,P018,3,3000
2026-07-14,S002,P016,0,15000
2026-07-14,S005,P010,4,5000
2026-07-14,S004,P015,3,18000
2026-07-14,S002,P002,3,55000
2026-07-14,S004,P004,1,18000
2026-07-14,S004,P016,0,15000
2026-07-14,S002,P005,5,70000
2026-07-14,S003,P003,2,50000
2026-07-14,S001,P018,4,3000
2026-07-14,S005,P020,5,500
2026-07-14,S002,P017,1,13000
2026-07-15,S004,P010,5,5000
2026-07-15,S004,P010,5,5000
2026-07-15,S005,P002,5,55000
2026-07-15,S001,P007,2,60000
2026-07-15,S003,P003,2,50000
2026-07-15,S002,P006,5,65000
2026-07-15,S001,P006,1,65000
2026-07-15,S004,P015,5,18000
2026-07-15,S004,P010,1,5000
2026-07-15,S002,P010,3,5000
2026-07-15,S004,P003,2,50000
2026-07-15,S003,P019,2,2500
2026-07-15,S004,P004,5,18000
2026-07-15,S002,P005,3,70000
2026-07-15,S002,P003,1,50000
2026-07-16,S002,P010,5,5000
2026-07-16,S005,P010,4,5000
2026-07-16,S001,P015,3,18000
2026-07-16,S004,P009,5,8000
2026-07-16,S005,P016,0,15000
2026-07-16,S005,P002,4,55000
2026-07-16,S003,P020,3,500
2026-07-16,S001,P003,2,50000
2026-07-16,S005,P019,1,2500
2026-07-16,S003,P019,1,2500
2026-07-16,S002,P016,1,15000
2026-07-16,S003,P006,5,65000
2026-07-16,S004,P016,1,15000
2026-07-16,S003,P014,3,12000
2026-07-16,S003,P004,2,18000
2026-07-17,S003,P014,4,12000
2026-07-17,S003,P013,5,3500
2026-07-17,S001,P015,1,18000
2026-07-17,S003,P009,3,8000
2026-07-17,S001,P013,5,3500
2026-07-17,S001,P018,4,3000
2026-07-17,S004,P002,2,55000
2026-07-17,S005,P012,5,1500
2026-07-17,S004,P015,1,18000
2026-07-17,S002,P009,5,8000
2026-07-17,S002,P010,4,5000
2026-07-17,S004,P004,1,18000
2026-07-17,S005,P008,2,2000
2026-07-17,S003,P018,1,3000
2026-07-17,S005,P014,1,12000
2026-07-18,S002,P004,4,18000
2026-07-18,S001,P005,4,70000
2026-07-18,S003,P017,1,13000
2026-07-18,S004,P016,1,15000
2026-07-18,S005,P005,4,70000
2026-07-18,S002,P020,5,500
2026-07-18,S002,P003,3,50000
2026-07-18,S004,P011,5,1200
2026-07-18,S003,P001,3,60000
2026-07-18,S003,P019,5,2500
2026-07-18,S004,P005,4,70000
2026-07-18,S005,P016,1,15000
2026-07-18,S005,P018,4,3000
2026-07-18,S004,P011,2,1200
2026-07-18,S002,P019,4,2500
2026-07-19,S002,P014,1,12000
2026-07-19,S003,P016,1,15000
2026-07-19,S002,P016,0,15000
2026-07-19,S005,P019,3,2500
2026-07-19,S001,P015,1,18000
2026-07-19,S005,P015,1,18000
2026-07-19,S002,P014,2,12000
2026-07-19,S001,P016,1,15000
2026-07-19,S005,P013,1,3500
2026-07-19,S003,P018,4,3000
2026-07-19,S003,P016,0,15000
2026-07-19,S005,P003,2,50000
2026-07-19,S003,P008,1,2000
2026-07-19,S004,P004,1,18000
2026-07-19,S004,P006,3,65000
2026-07-20,S001,P002,3,55000
2026-07-20,S001,P010,3,5000
2026-07-20,S003,P014,2,12000
2026-07-20,S002,P017,0,13000
2026-07-20,S002,P006,1,65000
2026-07-20,S005,P013,5,3500
2026-07-20,S002,P016,0,15000
2026-07-20,S002,P015,3,18000
2026-07-20,S004,P009,1,8000
2026-07-20,S004,P010,5,5000
2026-07-20,S002,P003,4,50000
2026-07-20,S003,P019,3,2500
2026-07-20,S004,P009,4,8000
2026-07-20,S003,P007,4,60000
2026-07-20,S004,P004,2,18000
2026-07-21,S004,P019,3,2500
2026-07-21,S005,P010,3,5000
2026-07-21,S001,P013,3,3500
2026-07-21,S001,P019,1,2500
2026-07-21,S005,P016,0,15000
2026-07-21,S005,P012,2,1500
2026-07-21,S002,P020,3,500
2026-07-21,S002,P004,1,18000
2026-07-21,S003,P015,1,18000
2026-07-21,S005,P012,2,1500
2026-07-21,S001,P010,3,5000
2026-07-21,S004,P006,2,65000
2026-07-21,S002,P018,3,3000
2026-07-21,S005,P017,0,13000
2026-07-21,S003,P016,1,15000
2026-07-22,S001,P015,1,18000
2026-07-22,S002,P008,4,2000
2026-07-22,S005,P012,1,1500
2026-07-22,S004,P001,3,60000
2026-07-22,S005,P004,4,18000
2026-07-22,S003,P009,5,8000
2026-07-22,S004,P012,1,1500
2026-07-22,S002,P016,1,15000
2026-07-22,S005,P008,1,2000
2026-07-22,S004,P010,4,5000
2026-07-22,S001,P005,1,70000
2026-07-22,S001,P010,4,5000
2026-07-22,S001,P004,2,18000
2026-07-22,S005,P005,4,70000
2026-07-22,S004,P012,5,1500
2026-07-23,S004,P019,2,2500
2026-07-23,S004,P004,4,18000
